Metabolites,Glycolysis,Glycolysis + Hb,Glycolysis + PFK,Glycolysis + PYK,Glycolysis + Hb + HEX1,Glycolysis + Hb + PFK,Glycolysis + Hb + PYK,Glycolysis + PFK + PYK,Glycolysis + Hb + PFK + PYK,Glycolysis + Hb + HEX1 + PFK,Glycolysis + Hb + HEX1 + PYK,Glycolysis + Hb + HEX1 + PFK + PYK,Units
pfk_T4_c,-,-,4.63625E-06,-,-,2.19272E-06,-,4.63625E-06,2.19272E-06,1.39994E-06,-,1.39994E-06,mM
pyk_R0_c,-,-,-,9.66599E-06,-,-,0.000122862,3.37633E-05,0.000122836,-,0.000122863,1.93739E-05,mM
pyk_R0_A_c,-,-,-,5.91123E-06,-,-,6.74724E-05,2.06543E-05,6.74579E-05,-,6.74726E-05,0.000010636,mM
pyk_R0_P_c,-,-,-,7.25175E-07,-,-,1.03213E-05,2.54593E-06,0.000010319,-,1.03213E-05,1.6199E-06,mM
pyk_R0_AP_c,-,-,-,4.4123E-07,-,-,5.65984E-06,1.55523E-06,5.65861E-06,-,5.65985E-06,8.84664E-07,mM
pyk_R1_c,-,-,-,0.000112899,-,-,0.000907998,0.000396119,0.000907878,-,0.000907999,0.000177795,mM
pyk_R1_A_c,-,-,-,6.90432E-05,-,-,0.000498647,0.000242322,0.000498581,-,0.000498648,9.76071E-05,mM
pyk_R1_P_c,-,-,-,8.47004E-06,-,-,0.000076278,2.98694E-05,7.62678E-05,-,7.62781E-05,1.48658E-05,mM
pyk_R1_AP_c,-,-,-,5.15357E-06,-,-,4.18283E-05,1.82463E-05,4.18227E-05,-,4.18284E-05,8.11859E-06,mM
pyk_R2_c,-,-,-,0.000494497,-,-,0.00251642,0.00174276,0.0025163,-,0.00251642,0.000611862,mM
pyk_R2_A_c,-,-,-,0.000302409,-,-,0.00138194,0.00106612,0.00138188,-,0.00138195,0.000335904,mM
pyk_R2_P_c,-,-,-,3.70988E-05,-,-,0.000211396,0.000131413,0.000211385,-,0.000211396,5.11592E-05,mM
pyk_R2_AP_c,-,-,-,2.25726E-05,-,-,0.000115923,8.02762E-05,0.000115917,-,0.000115923,2.79392E-05,mM
pyk_R3_c,-,-,-,0.00096262,-,-,0.00309954,0.00340775,0.00309965,-,0.00309954,0.000935846,mM
pyk_R3_A_c,-,-,-,0.00058869,-,-,0.00170218,0.00208466,0.00170224,-,0.00170218,0.000513768,mM
pyk_R3_P_c,-,-,-,0.000072219,-,-,0.000260383,0.000256962,0.000260391,-,0.000260383,7.82483E-05,mM
pyk_R3_AP_c,-,-,-,4.39414E-05,-,-,0.000142785,0.00015697,0.00014279,-,0.000142785,4.27333E-05,mM
pyk_R4_c,-,-,-,0.000702713,-,-,0.00143167,0.00249879,0.00143184,-,0.00143167,0.000536769,mM
pyk_R4_A_c,-,-,-,0.000429743,-,-,0.000786235,0.00152861,0.000786329,-,0.000786234,0.000294679,mM
pyk_R4_P_c,-,-,-,5.27198E-05,-,-,0.00012027,0.000188421,0.000120284,-,0.00012027,4.48805E-05,mM
pyk_R4_AP_c,-,-,-,3.20772E-05,-,-,6.59523E-05,0.000115101,0.00006596,-,6.59522E-05,2.45103E-05,mM
pyk_T0_c,-,-,-,0.000183654,-,-,0.00233438,0.000641502,0.00233388,-,0.00233439,0.000368104,mM
pyk_T1_c,-,-,-,0.000346721,-,-,0.00355176,0.0012111,0.003551,-,0.00355177,0.00056007,mM
pyk_T2_c,-,-,-,0.000245466,-,-,0.0020265,0.000857413,0.00202607,-,0.00202651,0.000319555,mM
pyk_T3_c,-,-,-,7.72362E-05,-,-,0.000513887,0.000269786,0.000513777,-,0.000513888,8.10338E-05,mM
pyk_T4_c,-,-,-,9.11341E-06,-,-,4.88674E-05,3.18331E-05,0.000048857,-,4.88676E-05,7.7058E-06,mM
amp_e,1,1,1,1,1,1,1,1,1,1,1,1,mM
glc__D_e,1,1,1,1,1,1,1,1,1,1,1,1,mM
h2o_e,1,1,1,1,1,1,1,1,1,1,1,1,mM
h_e,6.31E-05,9.00E-05,6.31E-05,6.31E-05,9.00E-05,9.00E-05,9.00E-05,6.31E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,mM
lac__L_e,1,1,1,1,1,1,1,1,1,1,1,1,mM
pi_e,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,mM
pyr_e,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,mM
o2_e,-,0.0200788,-,-,0.0200788,0.0200788,0.0200788,-,0.0200788,0.0200788,0.0200788,0.0200788,mM
